# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     83.91     -82.97       1.86       0.23       0.00       0.65       2.91       1.12   10.240  '/tmp/tmp5ahV_7/gold_soln_actives_final_m12_2.mol2'             'CHEMBL573326'
     79.48     -84.63       0.00       0.00       0.00       0.00       3.20       1.25   10.792  '/tmp/tmp5ahV_7/gold_soln_actives_final_m13_5.mol2'             'CHEMBL573326'
     79.44     -82.00       1.00       0.00       0.00       0.11       3.85       2.25    9.664  '/tmp/tmp5ahV_7/gold_soln_actives_final_m14_4.mol2'             'CHEMBL574269'
     78.40     -78.38       1.98       0.00       0.00       1.10       3.56       2.16    9.792  '/tmp/tmp5ahV_7/gold_soln_actives_final_m15_1.mol2'             'CHEMBL574269'
     59.36     -59.61       0.96       0.00       0.00       3.91       2.19       5.15    9.016  '/tmp/tmp5ahV_7/gold_soln_actives_final_m16_4.mol2'             'CHEMBL276130'
     80.26     -76.53       2.44       0.00       0.00       1.17       1.69       0.80    8.124  '/tmp/tmp5ahV_7/gold_soln_actives_final_m17_3.mol2'             'CHEMBL574268'
     79.50     -75.29       2.00       0.28       0.00       0.00       1.83       0.96    8.224  '/tmp/tmp5ahV_7/gold_soln_actives_final_m18_2.mol2'             'CHEMBL577377'
     79.70     -71.94       2.00       1.78       0.00       0.00       4.39       5.20   10.152  '/tmp/tmp5ahV_7/gold_soln_actives_final_m19_2.mol2'             'CHEMBL596072'
     80.26     -76.01       3.00       0.00       0.00       0.01       2.43       0.13   13.072  '/tmp/tmp5ahV_7/gold_soln_actives_final_m20_4.mol2'            'CHEMBL1098938'
     81.28     -77.75       2.00       0.00       0.00       0.43       3.20       4.37   10.280  '/tmp/tmp5ahV_7/gold_soln_actives_final_m21_4.mol2'             'CHEMBL603197'
     78.98     -72.14       2.00       0.98       0.00       0.00       2.53       2.95   12.208  '/tmp/tmp5ahV_7/gold_soln_actives_final_m22_3.mol2'            'CHEMBL1095612'
     85.15     -82.36       2.00       0.00       0.00       0.80       3.52       4.63   10.592  '/tmp/tmp5ahV_7/gold_soln_actives_final_m23_4.mol2'             'CHEMBL596073'
     58.17     -68.36       0.00       0.00       0.00       8.98       2.92       4.64    6.944  '/tmp/tmp5ahV_7/gold_soln_actives_final_m24_5.mol2'             'CHEMBL253457'
     71.79     -68.56       1.80       0.78       0.00       1.91       1.73       0.85    6.552  '/tmp/tmp5ahV_7/gold_soln_actives_final_m25_3.mol2'             'CHEMBL470410'
     76.42     -72.86       2.00       0.19       0.00       0.49       1.50       0.48    5.192  '/tmp/tmp5ahV_7/gold_soln_actives_final_m26_4.mol2'             'CHEMBL470410'
     74.22     -69.47       2.00       0.00       0.00       0.02       3.41       4.79   10.876  '/tmp/tmp5ahV_7/gold_soln_actives_final_m27_2.mol2'             'CHEMBL252259'
     73.76     -72.40       2.00       0.00       0.00       3.54       3.11       5.13   10.680  '/tmp/tmp5ahV_7/gold_soln_actives_final_m28_4.mol2'             'CHEMBL252259'
     85.43     -82.85       2.00       0.00       0.00       0.23       2.09       0.99    7.984  '/tmp/tmp5ahV_7/gold_soln_actives_final_m29_4.mol2'             'CHEMBL210740'
     68.93     -69.03       0.82       0.63       0.00       0.02       3.35       2.27   13.332  '/tmp/tmp5ahV_7/gold_soln_actives_final_m30_2.mol2'             'CHEMBL211774'
     75.52     -71.54       0.00       1.92       0.00       1.41       1.33       2.28   13.540  '/tmp/tmp5ahV_7/gold_soln_actives_final_m31_4.mol2'             'CHEMBL211774'
     64.18     -60.65       0.99       1.00       0.00       0.22       2.86       3.49   11.908  '/tmp/tmp5ahV_7/gold_soln_actives_final_m32_5.mol2'            'CHEMBL1204096'
     69.63     -65.49       2.99       0.00       0.00       0.04       4.45       4.11   11.860  '/tmp/tmp5ahV_7/gold_soln_actives_final_m33_3.mol2'            'CHEMBL1204096'
     63.45     -64.12       1.86       0.26       0.00       2.24       4.16       3.53   10.192  '/tmp/tmp5ahV_7/gold_soln_actives_final_m34_4.mol2'            'CHEMBL1204095'
     76.66     -68.84       2.00       1.00       0.00       2.89       0.65       3.00    5.004  '/tmp/tmp5ahV_7/gold_soln_actives_final_m35_3.mol2'            'CHEMBL1081853'
     80.58     -78.58       1.98       0.00       0.00       1.30       1.72       0.80    9.492  '/tmp/tmp5ahV_7/gold_soln_actives_final_m36_5.mol2'             'CHEMBL205410'
     69.86     -66.99       0.00       1.11       0.00       0.00       0.98       1.51   13.472  '/tmp/tmp5ahV_7/gold_soln_actives_final_m37_2.mol2'             'CHEMBL210209'
     80.55     -79.23       0.34       0.59       0.00       1.39       0.89       1.71   13.752  '/tmp/tmp5ahV_7/gold_soln_actives_final_m38_4.mol2'             'CHEMBL210209'
     75.89     -77.16       0.00       0.00       0.00       0.41       1.33       1.80   13.364  '/tmp/tmp5ahV_7/gold_soln_actives_final_m39_2.mol2'             'CHEMBL210209'
     79.37     -78.75       0.25       1.48       0.00       0.03       2.96       1.36   13.696  '/tmp/tmp5ahV_7/gold_soln_actives_final_m40_4.mol2'             'CHEMBL210209'
     80.56     -65.09       3.00       3.34       0.00       0.00       2.32       1.08    8.712  '/tmp/tmp5ahV_7/gold_soln_actives_final_m41_4.mol2'             'CHEMBL206183'
     75.93     -76.09       0.00       0.77       0.00       0.00       1.82       0.79    7.448  '/tmp/tmp5ahV_7/gold_soln_actives_final_m42_1.mol2'             'CHEMBL210020'
     68.44     -68.73       0.80       0.00       0.00       0.73       1.33       0.70    8.904  '/tmp/tmp5ahV_7/gold_soln_actives_final_m43_5.mol2'             'CHEMBL576135'
     64.03     -65.18       0.47       0.68       0.00       2.43       2.78       3.29    7.732  '/tmp/tmp5ahV_7/gold_soln_actives_final_m44_2.mol2'             'CHEMBL575448'
     64.14     -63.53       1.00       0.00       0.00       2.43       1.69       3.41    7.752  '/tmp/tmp5ahV_7/gold_soln_actives_final_m45_4.mol2'             'CHEMBL575448'
     60.11     -61.24       0.00       0.00       0.00       0.00       3.34       5.51    8.636  '/tmp/tmp5ahV_7/gold_soln_actives_final_m46_2.mol2'             'CHEMBL603852'
     68.36     -62.65       1.24       1.00       0.00       0.18       3.11       5.29    9.352  '/tmp/tmp5ahV_7/gold_soln_actives_final_m47_2.mol2'             'CHEMBL603852'
     57.67     -56.59       1.19       0.00       0.00       0.00       3.39       4.27    7.984  '/tmp/tmp5ahV_7/gold_soln_actives_final_m48_2.mol2'             'CHEMBL603852'
     54.11     -50.55       1.00       1.00       0.00       0.01       3.19       3.96    9.784  '/tmp/tmp5ahV_7/gold_soln_actives_final_m49_4.mol2'             'CHEMBL603852'
     65.59     -65.72       0.43       0.00       0.00       0.00       3.51       5.43    9.012  '/tmp/tmp5ahV_7/gold_soln_actives_final_m50_4.mol2'             'CHEMBL603852'
     59.12     -57.29       0.99       0.00       0.00       0.00       3.35       5.05    9.120  '/tmp/tmp5ahV_7/gold_soln_actives_final_m51_3.mol2'             'CHEMBL603852'
     53.09     -55.85       0.15       0.00       0.00       0.01       3.63       4.06    9.596  '/tmp/tmp5ahV_7/gold_soln_actives_final_m52_3.mol2'             'CHEMBL603852'
     50.07     -51.86       0.66       1.00       0.00       2.97       3.93       4.04    9.536  '/tmp/tmp5ahV_7/gold_soln_actives_final_m53_3.mol2'             'CHEMBL603852'
     46.94     -44.38       0.00       0.87       0.00       2.85       0.97       4.72    1.416  '/tmp/tmp5ahV_7/gold_soln_actives_final_m54_3.mol2'             'CHEMBL228654'
     73.31     -68.60       2.00       0.72       0.00       0.84       1.86       0.86    8.884  '/tmp/tmp5ahV_7/gold_soln_actives_final_m55_2.mol2'             'CHEMBL211084'
     54.98     -53.26       0.00       0.91       0.00       0.00       1.61       2.23    5.364  '/tmp/tmp5ahV_7/gold_soln_actives_final_m56_5.mol2'             'CHEMBL270638'
     58.38     -54.48       0.69       1.00       0.00       1.16       1.12       2.23    5.284  '/tmp/tmp5ahV_7/gold_soln_actives_final_m57_4.mol2'             'CHEMBL270638'
     79.59     -78.69       1.00       0.10       0.00       0.00       3.63       4.86   10.692  '/tmp/tmp5ahV_7/gold_soln_actives_final_m58_4.mol2'             'CHEMBL404554'
     63.13     -65.02       0.72       0.00       0.00       0.00       4.99       4.90    6.696  '/tmp/tmp5ahV_7/gold_soln_actives_final_m59_1.mol2'             'CHEMBL404554'
     64.90     -68.17       0.00       0.00       0.00       0.00       4.10       4.75    8.848  '/tmp/tmp5ahV_7/gold_soln_actives_final_m60_1.mol2'             'CHEMBL508794'
     84.46     -83.58       0.00       0.93       0.00       0.00       1.73       1.54   10.664  '/tmp/tmp5ahV_7/gold_soln_actives_final_m61_4.mol2'             'CHEMBL209503'
     58.84     -52.94       2.00       0.00       0.00       0.00       0.05       0.00    1.600  '/tmp/tmp5ahV_7/gold_soln_actives_final_m62_5.mol2'             'CHEMBL475401'
     81.45     -83.31       1.00       0.00       0.00       1.29       2.41       1.25   12.292  '/tmp/tmp5ahV_7/gold_soln_actives_final_m63_5.mol2'             'CHEMBL203275'
     83.09     -82.30       1.00       0.00       0.00       0.00       1.99       1.72   12.576  '/tmp/tmp5ahV_7/gold_soln_actives_final_m64_2.mol2'             'CHEMBL203275'
     54.22     -50.60       1.95       0.00       0.00       0.00       1.15       0.05    3.296  '/tmp/tmp5ahV_7/gold_soln_actives_final_m65_3.mol2'             'CHEMBL444165'
     48.12     -48.12       0.00       0.00       0.00       0.00       0.00       0.00    0.476  '/tmp/tmp5ahV_7/gold_soln_actives_final_m66_3.mol2'             'CHEMBL475400'
     63.30     -64.08       1.00       0.00       0.00       3.65       2.73       4.94    9.380  '/tmp/tmp5ahV_7/gold_soln_actives_final_m67_2.mol2'             'CHEMBL252056'
     69.59     -64.81       2.00       0.00       0.00       0.11       3.34       4.80    9.704  '/tmp/tmp5ahV_7/gold_soln_actives_final_m68_1.mol2'             'CHEMBL252056'
     82.81     -79.83       2.00       0.99       0.00       4.30       1.26       0.82    9.076  '/tmp/tmp5ahV_7/gold_soln_actives_final_m69_5.mol2'             'CHEMBL206208'
     80.93     -79.11       2.00       0.00       0.00       2.46       2.35       2.96    8.088  '/tmp/tmp5ahV_7/gold_soln_actives_final_m70_3.mol2'            'CHEMBL1081437'
     80.66     -80.82       0.54       0.00       0.00       1.08       1.84       2.98   10.376  '/tmp/tmp5ahV_7/gold_soln_actives_final_m71_4.mol2'            'CHEMBL1081438'
     74.47     -69.68       0.95       0.97       0.00       0.00       0.68       0.30    5.096  '/tmp/tmp5ahV_7/gold_soln_actives_final_m72_1.mol2'             'CHEMBL202937'
     76.87     -64.85       3.00       1.98       0.00       0.00       1.54       0.16    6.552  '/tmp/tmp5ahV_7/gold_soln_actives_final_m73_2.mol2'             'CHEMBL202937'
     49.32     -50.94       0.07       0.14       0.00       0.00       3.13       3.99    5.332  '/tmp/tmp5ahV_7/gold_soln_actives_final_m74_3.mol2'             'CHEMBL262341'
     55.14     -57.30       0.00       0.00       0.00       1.07       2.26       3.42    8.880  '/tmp/tmp5ahV_7/gold_soln_actives_final_m75_2.mol2'             'CHEMBL262341'
     78.13     -80.06       0.00       0.00       0.00       0.00       3.01       3.60    9.292  '/tmp/tmp5ahV_7/gold_soln_actives_final_m76_2.mol2'             'CHEMBL262341'
     63.60     -64.67       0.00       0.00       0.00       0.00       2.74       3.79    8.552  '/tmp/tmp5ahV_7/gold_soln_actives_final_m77_1.mol2'             'CHEMBL262341'
     82.32     -77.87       2.54       0.00       0.00       1.35       1.48       1.04   10.176  '/tmp/tmp5ahV_7/gold_soln_actives_final_m78_2.mol2'             'CHEMBL575646'
     84.89     -82.60       2.00       0.17       0.00       1.26       2.02       0.95   10.140  '/tmp/tmp5ahV_7/gold_soln_actives_final_m79_3.mol2'             'CHEMBL573334'
     77.84     -73.14       2.00       0.00       0.00       0.00       1.37       1.45   10.812  '/tmp/tmp5ahV_7/gold_soln_actives_final_m80_1.mol2'             'CHEMBL573334'
     83.60     -73.68       2.90       1.99       0.00       1.84       1.88       0.87   10.340  '/tmp/tmp5ahV_7/gold_soln_actives_final_m81_5.mol2'             'CHEMBL573334'
     89.75     -82.57       4.00       0.00       0.00       1.44       2.69       1.42   10.380  '/tmp/tmp5ahV_7/gold_soln_actives_final_m82_1.mol2'             'CHEMBL573334'
     69.94     -69.77       1.00       0.00       0.00       0.79       1.38       0.68    6.360  '/tmp/tmp5ahV_7/gold_soln_actives_final_m83_2.mol2'             'CHEMBL512672'
     73.52     -67.07       2.00       1.00       0.00       1.18       1.01       0.63    6.208  '/tmp/tmp5ahV_7/gold_soln_actives_final_m84_1.mol2'             'CHEMBL512672'
     81.20     -78.62       1.00       0.00       0.00       0.00       1.73       2.52   14.108  '/tmp/tmp5ahV_7/gold_soln_actives_final_m85_3.mol2'             'CHEMBL415220'
     79.99     -79.29       2.00       0.00       0.00       0.82       4.01       2.68   14.552  '/tmp/tmp5ahV_7/gold_soln_actives_final_m86_1.mol2'             'CHEMBL415220'
     57.12     -51.97       0.77       1.00       0.00       1.16       1.23       3.46    5.244  '/tmp/tmp5ahV_7/gold_soln_actives_final_m87_2.mol2'             'CHEMBL255592'
     61.09     -56.33       2.08       0.63       0.00       0.00       3.36       3.27   10.868  '/tmp/tmp5ahV_7/gold_soln_actives_final_m88_1.mol2'            'CHEMBL1202518'
     63.80     -62.03       1.40       0.00       0.00       0.00       3.11       3.79   11.420  '/tmp/tmp5ahV_7/gold_soln_actives_final_m89_5.mol2'            'CHEMBL1202518'
     85.37     -80.32       2.00       0.32       0.00       0.54       1.22       0.90   10.012  '/tmp/tmp5ahV_7/gold_soln_actives_final_m90_2.mol2'             'CHEMBL211186'
     46.59     -46.87       0.00       0.00       0.00       0.04       0.12       0.00    2.876  '/tmp/tmp5ahV_7/gold_soln_actives_final_m91_3.mol2'                'CHEMBL162'
     41.17     -42.32       0.00       0.00       0.00       0.00       0.58       0.00    1.780  '/tmp/tmp5ahV_7/gold_soln_actives_final_m92_2.mol2'                'CHEMBL162'
     83.39     -78.48       2.24       0.00       0.00       0.33       2.24       2.70    8.972  '/tmp/tmp5ahV_7/gold_soln_actives_final_m93_2.mol2'            'CHEMBL1082016'
     70.90     -60.52       3.48       0.98       0.00       0.00       2.84       2.68   11.176  '/tmp/tmp5ahV_7/gold_soln_actives_final_m94_5.mol2'            'CHEMBL1096271'
     79.20     -71.30       3.00       0.00       0.00       0.83       0.83       1.38    3.712  '/tmp/tmp5ahV_7/gold_soln_actives_final_m95_3.mol2'             'CHEMBL599448'
     82.18     -70.71       4.00       0.00       0.00       0.36       0.80       1.42    4.904  '/tmp/tmp5ahV_7/gold_soln_actives_final_m96_3.mol2'             'CHEMBL599448'
     60.98     -61.14       0.64       0.00       0.00       0.36       3.03       4.35   10.144  '/tmp/tmp5ahV_7/gold_soln_actives_final_m97_3.mol2'             'CHEMBL252055'
     66.95     -62.20       3.51       0.00       0.00       5.01       3.16       5.03    9.760  '/tmp/tmp5ahV_7/gold_soln_actives_final_m98_1.mol2'             'CHEMBL252055'
     64.46     -57.31       2.98       0.00       0.00       0.06       3.33       4.47    9.960  '/tmp/tmp5ahV_7/gold_soln_actives_final_m99_4.mol2'             'CHEMBL252055'
     61.92     -57.20       1.99       0.00       0.00       0.08       3.13       5.01    9.932  '/tmp/tmp5ahV_7/gold_soln_actives_final_m100_2.mol2'             'CHEMBL252055'
     73.52     -70.67       2.00       0.00       0.00       0.97       1.41       0.64    7.908  '/tmp/tmp5ahV_7/gold_soln_actives_final_m101_3.mol2'             'CHEMBL523586'
     67.55     -69.92       0.00       0.00       0.00       0.00       3.77       4.43    8.960  '/tmp/tmp5ahV_7/gold_soln_actives_final_m102_1.mol2'             'CHEMBL506077'
     67.14     -71.55       0.00       0.00       0.00       0.00       4.53       4.65    8.784  '/tmp/tmp5ahV_7/gold_soln_actives_final_m103_4.mol2'             'CHEMBL506077'
     68.77     -71.07       1.00       0.00       0.00       2.03       3.40       3.53    6.508  '/tmp/tmp5ahV_7/gold_soln_actives_final_m104_2.mol2'             'CHEMBL470200'
     67.31     -66.13       1.00       0.00       0.00       0.00       2.65       3.48    8.112  '/tmp/tmp5ahV_7/gold_soln_actives_final_m105_5.mol2'             'CHEMBL470200'
     43.17     -45.21       0.00       0.70       0.00       3.74       2.58       4.76   10.932  '/tmp/tmp5ahV_7/gold_soln_actives_final_m106_5.mol2'             'CHEMBL448926'
     59.78     -62.61       0.00       0.00       0.00       0.00       4.30       5.52   10.876  '/tmp/tmp5ahV_7/gold_soln_actives_final_m107_2.mol2'             'CHEMBL448926'
     79.87     -72.51       1.23       1.72       0.00       0.57       1.00       1.09    9.856  '/tmp/tmp5ahV_7/gold_soln_actives_final_m108_3.mol2'             'CHEMBL375485'
     66.17     -62.55       2.00       0.00       0.00       1.28       1.94       2.63    8.480  '/tmp/tmp5ahV_7/gold_soln_actives_final_m109_2.mol2'             'CHEMBL226381'
     68.94     -69.59       1.00       0.00       0.00       0.19       3.09       2.72    8.548  '/tmp/tmp5ahV_7/gold_soln_actives_final_m110_4.mol2'             'CHEMBL226381'
     90.72     -83.36       2.98       0.00       0.00       3.43       1.30       4.41    8.568  '/tmp/tmp5ahV_7/gold_soln_actives_final_m111_3.mol2'             'CHEMBL383527'
     84.13     -83.14       0.80       0.15       0.00       2.93       1.83       4.34    5.092  '/tmp/tmp5ahV_7/gold_soln_actives_final_m112_1.mol2'             'CHEMBL383527'
     75.91     -75.35       1.00       0.00       0.00       0.00       1.75       0.85    8.240  '/tmp/tmp5ahV_7/gold_soln_actives_final_m113_1.mol2'             'CHEMBL376569'
     87.43     -90.91       0.00       0.00       0.00       1.17       2.16       1.44   10.700  '/tmp/tmp5ahV_7/gold_soln_actives_final_m114_1.mol2'             'CHEMBL212566'
     76.54     -78.89       0.05       0.00       0.00       0.00       4.32       5.44    9.060  '/tmp/tmp5ahV_7/gold_soln_actives_final_m115_2.mol2'             'CHEMBL574289'
     76.54     -78.83       0.09       0.00       0.00       3.21       2.28       5.22    8.120  '/tmp/tmp5ahV_7/gold_soln_actives_final_m116_2.mol2'             'CHEMBL395080'
     71.71     -71.69       0.00       0.48       0.00       0.38       0.96       0.89   15.036  '/tmp/tmp5ahV_7/gold_soln_actives_final_m117_2.mol2'             'CHEMBL523859'
     77.22     -65.51       3.99       0.50       0.00       0.00       2.00       2.25    4.520  '/tmp/tmp5ahV_7/gold_soln_actives_final_m118_2.mol2'            'CHEMBL1171647'
     72.91     -72.65       1.00       0.51       0.00       0.33       3.41       2.89    8.660  '/tmp/tmp5ahV_7/gold_soln_actives_final_m119_2.mol2'            'CHEMBL1079625'
     77.58     -72.51       2.50       0.00       0.00       0.86       1.13       0.68    7.944  '/tmp/tmp5ahV_7/gold_soln_actives_final_m120_4.mol2'             'CHEMBL208199'
     73.03     -79.28       0.00       0.00       0.00       4.36       3.46       4.21    5.600  '/tmp/tmp5ahV_7/gold_soln_actives_final_m121_1.mol2'             'CHEMBL258844'
     40.91     -29.99       4.00       0.00       0.00       0.00       0.86       0.64   12.708  '/tmp/tmp5ahV_7/gold_soln_actives_final_m122_3.mol2'             'CHEMBL595349'
     42.05     -31.31       3.79       0.00       0.00       0.02       0.80       0.99   12.876  '/tmp/tmp5ahV_7/gold_soln_actives_final_m123_2.mol2'             'CHEMBL595349'
     93.39     -91.44       2.00       0.00       0.00       1.44       1.95       1.29    7.640  '/tmp/tmp5ahV_7/gold_soln_actives_final_m124_5.mol2'             'CHEMBL211018'
     74.77     -72.68       2.00       0.00       0.00       1.13       2.13       1.48   11.036  '/tmp/tmp5ahV_7/gold_soln_actives_final_m125_4.mol2'             'CHEMBL575811'
     81.59     -80.97       2.00       0.00       0.00       0.09       3.32       1.35   10.904  '/tmp/tmp5ahV_7/gold_soln_actives_final_m126_4.mol2'             'CHEMBL575811'
     91.66     -85.51       2.00       0.53       0.00       0.00       0.84       0.26    8.552  '/tmp/tmp5ahV_7/gold_soln_actives_final_m127_3.mol2'             'CHEMBL203329'
     85.39     -83.89       1.00       1.00       0.00       2.94       2.19       2.82    8.992  '/tmp/tmp5ahV_7/gold_soln_actives_final_m128_5.mol2'            'CHEMBL1081104'
     74.35     -74.16       1.46       0.00       0.00       1.47       4.15       5.58    5.228  '/tmp/tmp5ahV_7/gold_soln_actives_final_m129_3.mol2'             'CHEMBL270847'
     87.93     -80.28       2.00       1.00       0.00       0.00       1.43       1.42    9.316  '/tmp/tmp5ahV_7/gold_soln_actives_final_m130_4.mol2'             'CHEMBL205994'
     86.17     -71.93       4.00       2.00       0.00       0.00       2.61       1.47    9.092  '/tmp/tmp5ahV_7/gold_soln_actives_final_m131_3.mol2'             'CHEMBL205994'
     84.12     -85.72       1.00       0.00       0.00       0.02       2.92       1.13    9.948  '/tmp/tmp5ahV_7/gold_soln_actives_final_m132_2.mol2'             'CHEMBL572884'
     84.49     -85.03       1.92       0.00       0.00       1.39       2.86       0.80   10.428  '/tmp/tmp5ahV_7/gold_soln_actives_final_m133_4.mol2'             'CHEMBL572884'
     85.14     -81.94       1.00       1.00       0.00       0.00       1.58       0.36    5.596  '/tmp/tmp5ahV_7/gold_soln_actives_final_m134_2.mol2'             'CHEMBL206732'
     68.48     -72.09       2.00       0.00       0.00       5.05       3.56       1.87   10.228  '/tmp/tmp5ahV_7/gold_soln_actives_final_m135_1.mol2'             'CHEMBL203434'
     84.03     -76.73       2.00       1.16       0.00       0.00       2.02       1.45   14.308  '/tmp/tmp5ahV_7/gold_soln_actives_final_m136_3.mol2'             'CHEMBL381610'
     90.13     -83.34       2.75       1.00       0.00       1.41       2.23       1.40   14.484  '/tmp/tmp5ahV_7/gold_soln_actives_final_m137_5.mol2'             'CHEMBL381610'
     74.29     -71.29       2.05       0.00       0.00       0.97       2.55       2.91    8.932  '/tmp/tmp5ahV_7/gold_soln_actives_final_m138_4.mol2'            'CHEMBL1081829'
     75.02     -71.10       2.00       0.00       0.00       2.77       1.06       2.82    8.816  '/tmp/tmp5ahV_7/gold_soln_actives_final_m139_2.mol2'            'CHEMBL1081660'
     79.45     -70.13       1.00       2.68       0.00       0.18       1.27       0.99    8.668  '/tmp/tmp5ahV_7/gold_soln_actives_final_m140_4.mol2'             'CHEMBL207496'
     79.78     -83.31       1.00       0.00       0.00       1.03       3.63       1.46   11.456  '/tmp/tmp5ahV_7/gold_soln_actives_final_m141_2.mol2'             'CHEMBL377687'
     83.93     -75.25       2.89       1.65       0.00       3.27       2.27       2.89    8.652  '/tmp/tmp5ahV_7/gold_soln_actives_final_m142_5.mol2'            'CHEMBL1081263'
     84.56     -77.78       1.00       2.00       0.00       0.33       2.44       2.98    8.732  '/tmp/tmp5ahV_7/gold_soln_actives_final_m143_4.mol2'            'CHEMBL1081425'
     77.21     -73.07       1.98       0.00       0.00       3.59       0.61       2.99    8.704  '/tmp/tmp5ahV_7/gold_soln_actives_final_m144_1.mol2'            'CHEMBL1081296'
     82.61     -78.95       0.00       1.51       0.00       0.94       0.62       1.29   13.688  '/tmp/tmp5ahV_7/gold_soln_actives_final_m145_5.mol2'             'CHEMBL377603'
     74.41     -72.38       0.00       1.70       0.00       0.93       2.27       1.88   13.588  '/tmp/tmp5ahV_7/gold_soln_actives_final_m146_2.mol2'             'CHEMBL377603'
     58.25     -54.41       2.00       0.97       0.00       0.91       2.43       0.71    9.120  '/tmp/tmp5ahV_7/gold_soln_actives_final_m147_5.mol2'             'CHEMBL445180'
     77.80     -78.61       0.00       0.00       0.00       0.03       2.90       4.60    6.968  '/tmp/tmp5ahV_7/gold_soln_actives_final_m148_3.mol2'             'CHEMBL359864'
     70.82     -72.74       0.00       0.00       0.00       0.02       3.41       4.78    6.936  '/tmp/tmp5ahV_7/gold_soln_actives_final_m149_4.mol2'             'CHEMBL180231'
     69.96     -76.87       0.96       0.00       0.00      10.08       2.10       4.50    7.240  '/tmp/tmp5ahV_7/gold_soln_actives_final_m150_3.mol2'             'CHEMBL180231'
     56.61     -53.49       2.00       0.00       0.00       0.38       1.66       0.77    8.804  '/tmp/tmp5ahV_7/gold_soln_actives_final_m151_2.mol2'             'CHEMBL493251'
     86.00     -75.23       3.71       0.74       0.00       0.00       1.69       0.81    4.212  '/tmp/tmp5ahV_7/gold_soln_actives_final_m152_3.mol2'             'CHEMBL597793'
     73.14     -74.42       0.00       0.84       0.00       0.35       2.31       1.17   10.064  '/tmp/tmp5ahV_7/gold_soln_actives_final_m153_1.mol2'             'CHEMBL226383'
     77.18     -68.45       2.00       1.51       0.00       0.12       1.42       1.17    9.864  '/tmp/tmp5ahV_7/gold_soln_actives_final_m154_2.mol2'             'CHEMBL375486'
     74.99     -68.81       2.00       0.99       0.00       0.00       1.59       0.40    4.748  '/tmp/tmp5ahV_7/gold_soln_actives_final_m155_2.mol2'             'CHEMBL207338'
     62.54     -63.62       1.00       0.00       0.00       0.00       4.53       4.99    8.960  '/tmp/tmp5ahV_7/gold_soln_actives_final_m156_3.mol2'             'CHEMBL260184'
     59.65     -60.59       1.00       0.00       0.00       0.02       4.50       4.83    8.980  '/tmp/tmp5ahV_7/gold_soln_actives_final_m157_1.mol2'             'CHEMBL260184'
     66.93     -67.69       0.00       0.04       0.00       0.00       2.78       4.67    7.336  '/tmp/tmp5ahV_7/gold_soln_actives_final_m158_2.mol2'             'CHEMBL407733'
     75.00     -78.09       0.00       0.26       0.00       0.00       4.27       4.65    8.928  '/tmp/tmp5ahV_7/gold_soln_actives_final_m159_2.mol2'             'CHEMBL407733'
     74.00     -72.32       2.00       0.00       0.00       0.00       2.56       0.81    7.616  '/tmp/tmp5ahV_7/gold_soln_actives_final_m160_4.mol2'             'CHEMBL229320'
