# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     75.10     -73.12       2.00       0.12       0.00       0.70       3.20       2.72    1.128  '/tmp/tmpOBu85K/gold_soln_actives_final_m14_5.mol2'             'CHEMBL574269'
     83.76     -82.24       1.98       0.00       0.00       1.24       2.71       2.23    1.132  '/tmp/tmpOBu85K/gold_soln_actives_final_m15_5.mol2'             'CHEMBL574269'
     51.08     -63.03       0.00       0.00       0.00      11.54       2.53       4.66    1.108  '/tmp/tmpOBu85K/gold_soln_actives_final_m16_3.mol2'             'CHEMBL276130'
     70.53     -70.67       0.53       0.00       0.00       0.65       1.31       0.98    1.032  '/tmp/tmpOBu85K/gold_soln_actives_final_m17_1.mol2'             'CHEMBL574268'
     71.44     -70.20       1.70       0.01       0.00       1.04       1.96       1.08    1.016  '/tmp/tmpOBu85K/gold_soln_actives_final_m18_5.mol2'             'CHEMBL577377'
     77.28     -68.56       2.00       1.00       0.00       0.00       3.01       5.74    1.236  '/tmp/tmpOBu85K/gold_soln_actives_final_m19_5.mol2'             'CHEMBL596072'
     67.60     -67.91       1.25       0.00       0.00       0.07       2.51       1.03    1.504  '/tmp/tmpOBu85K/gold_soln_actives_final_m20_2.mol2'            'CHEMBL1098938'
     78.81     -72.35       1.00       1.74       0.00       1.39       3.03       4.86    1.224  '/tmp/tmpOBu85K/gold_soln_actives_final_m21_2.mol2'             'CHEMBL603197'
     61.35     -57.25       0.67       1.06       0.00       0.21       2.30       3.25    1.384  '/tmp/tmpOBu85K/gold_soln_actives_final_m22_1.mol2'            'CHEMBL1095612'
     80.41     -78.52       0.98       0.00       0.00       0.00       2.97       4.90    1.216  '/tmp/tmpOBu85K/gold_soln_actives_final_m23_1.mol2'             'CHEMBL596073'
     55.25     -57.67       0.00       0.00       0.00       0.69       3.47       4.93    0.956  '/tmp/tmpOBu85K/gold_soln_actives_final_m24_4.mol2'             'CHEMBL253457'
     63.99     -61.17       2.00       0.00       0.00       0.00       2.57       1.75    0.764  '/tmp/tmpOBu85K/gold_soln_actives_final_m25_2.mol2'             'CHEMBL470410'
     67.86     -62.82       2.00       0.99       0.00       3.98       0.56       1.18    0.840  '/tmp/tmpOBu85K/gold_soln_actives_final_m26_3.mol2'             'CHEMBL470410'
     71.23     -66.04       2.00       0.00       0.00       0.19       3.24       5.86    1.228  '/tmp/tmpOBu85K/gold_soln_actives_final_m27_3.mol2'             'CHEMBL252259'
     68.28     -64.74       0.29       1.00       0.00       0.02       3.26       5.49    1.268  '/tmp/tmpOBu85K/gold_soln_actives_final_m28_4.mol2'             'CHEMBL252259'
     79.95     -77.01       2.00       0.00       0.00       1.31       1.50       1.08    1.000  '/tmp/tmpOBu85K/gold_soln_actives_final_m29_2.mol2'             'CHEMBL210740'
     68.42     -64.83       1.66       0.01       0.00       0.00       2.66       3.88    1.616  '/tmp/tmpOBu85K/gold_soln_actives_final_m30_5.mol2'             'CHEMBL211774'
     75.49     -76.52       0.05       0.80       0.00       1.28       3.17       4.03    1.672  '/tmp/tmpOBu85K/gold_soln_actives_final_m31_4.mol2'             'CHEMBL211774'
     62.40     -66.54       0.00       0.00       0.00       0.01       4.04       3.95    1.400  '/tmp/tmpOBu85K/gold_soln_actives_final_m32_3.mol2'            'CHEMBL1204096'
     66.33     -58.98       3.00       0.00       0.00       0.00       3.15       4.20    1.348  '/tmp/tmpOBu85K/gold_soln_actives_final_m33_3.mol2'            'CHEMBL1204096'
     65.00     -64.74       1.92       0.19       0.00       2.50       3.67       3.57    1.208  '/tmp/tmpOBu85K/gold_soln_actives_final_m34_2.mol2'            'CHEMBL1204095'
     74.15     -73.82       0.99       0.00       0.00       3.74       1.11       2.89    0.996  '/tmp/tmpOBu85K/gold_soln_actives_final_m35_1.mol2'            'CHEMBL1081853'
     75.08     -67.21       2.89       1.70       0.00       4.33       1.50       1.40    1.104  '/tmp/tmpOBu85K/gold_soln_actives_final_m36_4.mol2'             'CHEMBL205410'
     67.37     -65.23       0.00       1.00       0.00       1.01       1.04       2.22    1.616  '/tmp/tmpOBu85K/gold_soln_actives_final_m37_4.mol2'             'CHEMBL210209'
     58.96     -58.94       0.00       0.98       0.00       0.00       2.83       2.04    1.600  '/tmp/tmpOBu85K/gold_soln_actives_final_m38_3.mol2'             'CHEMBL210209'
     63.58     -62.60       1.98       0.00       0.00       1.30       2.84       2.00    1.588  '/tmp/tmpOBu85K/gold_soln_actives_final_m39_5.mol2'             'CHEMBL210209'
     64.54     -61.97       1.00       0.00       0.00       0.00       1.50       2.57    1.604  '/tmp/tmpOBu85K/gold_soln_actives_final_m40_5.mol2'             'CHEMBL210209'
     71.27     -73.46       0.00       0.75       0.00       0.00       2.89       1.34    1.044  '/tmp/tmpOBu85K/gold_soln_actives_final_m41_3.mol2'             'CHEMBL206183'
     72.86     -63.71       3.00       1.18       0.00       0.91       1.87       1.21    0.912  '/tmp/tmpOBu85K/gold_soln_actives_final_m42_2.mol2'             'CHEMBL210020'
     62.93     -65.94       0.12       0.00       0.00       1.09       1.80       1.30    1.068  '/tmp/tmpOBu85K/gold_soln_actives_final_m43_4.mol2'             'CHEMBL576135'
     53.60     -56.21       0.00       0.00       0.00       2.39       2.13       4.05    0.952  '/tmp/tmpOBu85K/gold_soln_actives_final_m44_4.mol2'             'CHEMBL575448'
     58.72     -58.47       0.00       1.00       0.00       7.53       0.49       5.03    1.044  '/tmp/tmpOBu85K/gold_soln_actives_final_m45_1.mol2'             'CHEMBL575448'
     53.30     -52.93       0.76       0.00       0.00       0.08       3.90       5.99    1.124  '/tmp/tmpOBu85K/gold_soln_actives_final_m46_5.mol2'             'CHEMBL603852'
     40.76     -44.75       0.60       0.00       0.00       5.79       2.96       5.91    1.168  '/tmp/tmpOBu85K/gold_soln_actives_final_m47_3.mol2'             'CHEMBL603852'
     55.77     -56.73       1.00       0.00       0.00       0.00       4.18       4.29    1.176  '/tmp/tmpOBu85K/gold_soln_actives_final_m48_4.mol2'             'CHEMBL603852'
     47.96     -49.77       0.00       0.40       0.00       0.00       3.54       4.06    1.216  '/tmp/tmpOBu85K/gold_soln_actives_final_m49_1.mol2'             'CHEMBL603852'
     61.78     -65.54       0.00       0.00       0.00       0.00       4.93       6.09    1.112  '/tmp/tmpOBu85K/gold_soln_actives_final_m50_4.mol2'             'CHEMBL603852'
     55.30     -52.82       0.00       1.00       0.00       0.10       3.12       5.27    1.120  '/tmp/tmpOBu85K/gold_soln_actives_final_m51_1.mol2'             'CHEMBL603852'
     51.73     -55.58       1.00       0.00       0.00       2.97       4.10       4.31    1.132  '/tmp/tmpOBu85K/gold_soln_actives_final_m52_4.mol2'             'CHEMBL603852'
     47.20     -44.38       0.98       1.00       0.00       0.01       3.79       4.21    1.168  '/tmp/tmpOBu85K/gold_soln_actives_final_m53_1.mol2'             'CHEMBL603852'
     46.29     -43.66       0.00       0.88       0.00       2.87       0.98       4.75    0.400  '/tmp/tmpOBu85K/gold_soln_actives_final_m54_2.mol2'             'CHEMBL228654'
     65.99     -69.67       0.00       0.00       0.00       0.00       2.58       1.44    1.032  '/tmp/tmpOBu85K/gold_soln_actives_final_m55_1.mol2'             'CHEMBL211084'
     53.97     -52.04       0.00       1.00       0.00       0.00       1.64       2.20    0.548  '/tmp/tmpOBu85K/gold_soln_actives_final_m56_4.mol2'             'CHEMBL270638'
     54.19     -52.77       0.00       0.95       0.00       0.12       1.78       2.25    0.396  '/tmp/tmpOBu85K/gold_soln_actives_final_m57_2.mol2'             'CHEMBL270638'
     71.58     -72.31       0.75       0.00       0.00       0.00       4.62       5.54    1.232  '/tmp/tmpOBu85K/gold_soln_actives_final_m58_3.mol2'             'CHEMBL404554'
     72.16     -74.14       0.76       0.00       0.00       0.02       4.91       5.58    1.236  '/tmp/tmpOBu85K/gold_soln_actives_final_m59_5.mol2'             'CHEMBL404554'
     36.87     -38.58       0.00       0.01       0.00       0.09       3.25       4.84    1.104  '/tmp/tmpOBu85K/gold_soln_actives_final_m60_3.mol2'             'CHEMBL508794'
     70.62     -67.91       1.11       0.23       0.00       0.00       1.59       1.89    1.296  '/tmp/tmpOBu85K/gold_soln_actives_final_m61_4.mol2'             'CHEMBL209503'
     43.09     -44.41       0.00       0.00       0.00       0.00       0.66       0.00    0.192  '/tmp/tmpOBu85K/gold_soln_actives_final_m62_2.mol2'             'CHEMBL475401'
     69.28     -70.11       0.00       0.25       0.00       0.14       1.42       1.39    1.404  '/tmp/tmpOBu85K/gold_soln_actives_final_m63_2.mol2'             'CHEMBL203275'
     72.69     -63.47       3.56       0.21       0.00       0.00       1.95       1.80    1.420  '/tmp/tmpOBu85K/gold_soln_actives_final_m64_5.mol2'             'CHEMBL203275'
     53.27     -50.35       1.47       0.00       0.00       0.00       0.76       0.03    0.520  '/tmp/tmpOBu85K/gold_soln_actives_final_m65_4.mol2'             'CHEMBL444165'
     48.11     -48.11       0.00       0.00       0.00       0.00       0.00       0.00    0.248  '/tmp/tmpOBu85K/gold_soln_actives_final_m66_4.mol2'             'CHEMBL475400'
     60.75     -63.72       0.00       0.00       0.00       1.56       3.51       5.60    1.088  '/tmp/tmpOBu85K/gold_soln_actives_final_m67_4.mol2'             'CHEMBL252056'
     63.05     -65.18       0.85       1.00       0.00       6.84       3.09       5.33    1.088  '/tmp/tmpOBu85K/gold_soln_actives_final_m68_3.mol2'             'CHEMBL252056'
     76.20     -72.31       1.81       0.00       0.00       0.00       1.35       0.86    1.068  '/tmp/tmpOBu85K/gold_soln_actives_final_m69_1.mol2'             'CHEMBL206208'
     76.52     -72.06       2.00       0.00       0.00       2.21       1.55       3.77    1.148  '/tmp/tmpOBu85K/gold_soln_actives_final_m70_2.mol2'            'CHEMBL1081437'
     78.13     -73.74       2.00       0.00       0.00       0.36       2.40       3.38    1.144  '/tmp/tmpOBu85K/gold_soln_actives_final_m71_4.mol2'            'CHEMBL1081438'
     76.34     -72.20       1.00       1.14       0.00       0.00       1.30       0.26    0.816  '/tmp/tmpOBu85K/gold_soln_actives_final_m72_4.mol2'             'CHEMBL202937'
     80.09     -77.16       2.02       0.00       0.00       0.07       1.67       0.27    0.840  '/tmp/tmpOBu85K/gold_soln_actives_final_m73_2.mol2'             'CHEMBL202937'
     56.80     -68.69       0.00       0.00       0.00      11.92       2.20       4.41    1.080  '/tmp/tmpOBu85K/gold_soln_actives_final_m74_5.mol2'             'CHEMBL262341'
     43.79     -45.08       0.00       0.07       0.00       1.12       2.14       3.90    1.084  '/tmp/tmpOBu85K/gold_soln_actives_final_m75_5.mol2'             'CHEMBL262341'
     49.92     -47.09       0.29       0.80       0.00       0.19       2.53       4.68    1.080  '/tmp/tmpOBu85K/gold_soln_actives_final_m76_4.mol2'             'CHEMBL262341'
     34.92     -38.54       0.00       0.00       0.00       2.18       2.57       3.70    1.056  '/tmp/tmpOBu85K/gold_soln_actives_final_m77_5.mol2'             'CHEMBL262341'
     70.34     -67.74       1.98       0.00       0.00       1.18       1.84       1.37    1.180  '/tmp/tmpOBu85K/gold_soln_actives_final_m78_3.mol2'             'CHEMBL575646'
     74.72     -67.96       2.00       0.86       0.00       0.00       1.69       1.57    1.216  '/tmp/tmpOBu85K/gold_soln_actives_final_m79_5.mol2'             'CHEMBL573334'
     65.63     -64.37       0.00       1.71       0.00       1.06       2.17       1.51    1.204  '/tmp/tmpOBu85K/gold_soln_actives_final_m80_4.mol2'             'CHEMBL573334'
     67.90     -68.40       0.00       1.00       0.00       0.00       2.43       1.35    1.216  '/tmp/tmpOBu85K/gold_soln_actives_final_m81_4.mol2'             'CHEMBL573334'
     74.67     -72.55       2.00       0.00       0.00       1.36       2.34       1.26    1.272  '/tmp/tmpOBu85K/gold_soln_actives_final_m82_3.mol2'             'CHEMBL573334'
     69.84     -68.03       1.03       0.00       0.00       0.45       1.24       0.50    0.792  '/tmp/tmpOBu85K/gold_soln_actives_final_m83_1.mol2'             'CHEMBL512672'
     57.89     -54.03       2.00       0.00       0.00       2.06       0.70       1.32    0.796  '/tmp/tmpOBu85K/gold_soln_actives_final_m84_3.mol2'             'CHEMBL512672'
     79.27     -81.90       0.00       0.00       0.00       1.83       2.17       3.46    1.668  '/tmp/tmpOBu85K/gold_soln_actives_final_m85_2.mol2'             'CHEMBL415220'
     74.83     -66.24       2.98       0.00       0.00       0.01       1.59       2.82    1.680  '/tmp/tmpOBu85K/gold_soln_actives_final_m86_3.mol2'             'CHEMBL415220'
     54.34     -54.71       0.00       0.00       0.00       0.69       1.57       3.45    0.700  '/tmp/tmpOBu85K/gold_soln_actives_final_m87_5.mol2'             'CHEMBL255592'
     56.87     -53.82       1.00       0.61       0.00       0.00       2.60       3.39    1.348  '/tmp/tmpOBu85K/gold_soln_actives_final_m88_2.mol2'            'CHEMBL1202518'
     57.38     -56.74       1.59       0.24       0.00       0.00       4.16       3.48    1.340  '/tmp/tmpOBu85K/gold_soln_actives_final_m89_3.mol2'            'CHEMBL1202518'
     72.64     -70.28       2.00       0.00       0.00       0.39       2.56       1.43    1.164  '/tmp/tmpOBu85K/gold_soln_actives_final_m90_2.mol2'             'CHEMBL211186'
     48.53     -48.70       0.00       0.00       0.00       0.00       0.09       0.01    0.476  '/tmp/tmpOBu85K/gold_soln_actives_final_m91_5.mol2'                'CHEMBL162'
     45.24     -46.76       0.00       0.00       0.00       0.02       0.76       0.00    0.484  '/tmp/tmpOBu85K/gold_soln_actives_final_m92_3.mol2'                'CHEMBL162'
     64.48     -59.18       2.08       0.00       0.00       2.92       0.56       3.11    1.036  '/tmp/tmpOBu85K/gold_soln_actives_final_m93_4.mol2'            'CHEMBL1082016'
     68.81     -63.90       1.42       1.28       0.00       1.26       2.81       2.89    1.336  '/tmp/tmpOBu85K/gold_soln_actives_final_m94_1.mol2'            'CHEMBL1096271'
     75.47     -67.25       3.00       0.14       0.00       2.25       0.47       1.46    0.776  '/tmp/tmpOBu85K/gold_soln_actives_final_m95_1.mol2'             'CHEMBL599448'
     80.53     -67.98       3.89       0.56       0.00       0.00       1.22       1.46    0.760  '/tmp/tmpOBu85K/gold_soln_actives_final_m96_3.mol2'             'CHEMBL599448'
     59.20     -62.93       0.00       0.00       0.00       4.77       2.30       5.65    1.168  '/tmp/tmpOBu85K/gold_soln_actives_final_m97_2.mol2'             'CHEMBL252055'
     62.80     -59.58       2.00       0.00       0.00       0.46       3.90       5.47    1.092  '/tmp/tmpOBu85K/gold_soln_actives_final_m98_4.mol2'             'CHEMBL252055'
     59.69     -55.05       3.00       0.00       0.00       4.81       2.45       5.32    1.156  '/tmp/tmpOBu85K/gold_soln_actives_final_m99_3.mol2'             'CHEMBL252055'
     56.16     -57.31       0.00       0.00       0.00       0.06       3.48       5.33    1.124  '/tmp/tmpOBu85K/gold_soln_actives_final_m100_2.mol2'             'CHEMBL252055'
     78.56     -74.62       2.03       0.52       0.00       2.43       1.14       0.98    0.908  '/tmp/tmpOBu85K/gold_soln_actives_final_m101_4.mol2'             'CHEMBL523586'
     62.02     -66.36       0.00       0.00       0.00       0.84       4.42       5.34    1.116  '/tmp/tmpOBu85K/gold_soln_actives_final_m102_3.mol2'             'CHEMBL506077'
     51.59     -62.50       0.00       0.00       0.00      10.69       2.69       5.15    1.100  '/tmp/tmpOBu85K/gold_soln_actives_final_m103_4.mol2'             'CHEMBL506077'
     65.77     -69.22       0.00       0.00       0.00       2.02       2.96       3.99    0.972  '/tmp/tmpOBu85K/gold_soln_actives_final_m104_4.mol2'             'CHEMBL470200'
     61.75     -66.65       0.00       0.00       0.00       2.06       3.98       3.02    0.968  '/tmp/tmpOBu85K/gold_soln_actives_final_m105_1.mol2'             'CHEMBL470200'
     29.62     -41.45       0.00       0.03       0.00       9.90       4.05       6.08    1.328  '/tmp/tmpOBu85K/gold_soln_actives_final_m106_4.mol2'             'CHEMBL448926'
     27.92     -35.54       0.00       0.93       0.00       9.73       2.99       5.28    1.392  '/tmp/tmpOBu85K/gold_soln_actives_final_m107_2.mol2'             'CHEMBL448926'
     72.06     -72.19       0.00       0.91       0.00       0.06       2.15       1.49    1.136  '/tmp/tmpOBu85K/gold_soln_actives_final_m108_2.mol2'             'CHEMBL375485'
     66.59     -65.74       1.00       0.00       0.00       0.00       2.63       3.11    1.016  '/tmp/tmpOBu85K/gold_soln_actives_final_m109_2.mol2'             'CHEMBL226381'
     69.94     -66.73       1.30       0.00       0.00       0.37       1.72       2.75    1.036  '/tmp/tmpOBu85K/gold_soln_actives_final_m110_4.mol2'             'CHEMBL226381'
     80.94     -78.65       1.97       0.00       0.00       2.93       2.97       4.61    1.004  '/tmp/tmpOBu85K/gold_soln_actives_final_m111_1.mol2'             'CHEMBL383527'
     78.07     -76.25       1.83       0.00       0.00       4.44       1.95       4.67    1.000  '/tmp/tmpOBu85K/gold_soln_actives_final_m112_5.mol2'             'CHEMBL383527'
     78.11     -75.35       2.00       0.00       0.00       0.97       1.87       1.05    1.020  '/tmp/tmpOBu85K/gold_soln_actives_final_m113_2.mol2'             'CHEMBL376569'
     65.64     -65.93       0.00       1.00       0.00       0.00       2.75       2.20    1.280  '/tmp/tmpOBu85K/gold_soln_actives_final_m114_4.mol2'             'CHEMBL212566'
     58.35     -64.49       0.00       0.00       0.00       7.18       2.62       5.06    1.092  '/tmp/tmpOBu85K/gold_soln_actives_final_m115_3.mol2'             'CHEMBL574289'
     60.90     -61.08       0.00       0.00       0.00       4.61       0.46       5.34    1.036  '/tmp/tmpOBu85K/gold_soln_actives_final_m116_4.mol2'             'CHEMBL395080'
     69.01     -64.69       1.55       0.00       0.00       0.00       1.11       1.86    1.348  '/tmp/tmpOBu85K/gold_soln_actives_final_m117_1.mol2'             'CHEMBL523859'
     70.11     -71.55       0.93       0.91       0.00       3.20       3.11       2.48    0.856  '/tmp/tmpOBu85K/gold_soln_actives_final_m118_5.mol2'            'CHEMBL1171647'
     62.77     -62.27       1.00       0.28       0.00       2.91       1.77       3.13    1.044  '/tmp/tmpOBu85K/gold_soln_actives_final_m119_3.mol2'            'CHEMBL1079625'
     72.22     -74.18       0.00       0.00       0.00       0.00       1.48       1.00    0.972  '/tmp/tmpOBu85K/gold_soln_actives_final_m120_1.mol2'             'CHEMBL208199'
     70.59     -78.86       0.00       0.00       0.00       7.93       3.01       5.11    0.956  '/tmp/tmpOBu85K/gold_soln_actives_final_m121_1.mol2'             'CHEMBL258844'
     33.31     -21.90       4.74       0.00       0.00       0.00       2.26       1.69    1.444  '/tmp/tmpOBu85K/gold_soln_actives_final_m122_5.mol2'             'CHEMBL595349'
     26.56     -24.38       1.50       0.00       0.00       0.00       1.53       0.73    1.480  '/tmp/tmpOBu85K/gold_soln_actives_final_m123_5.mol2'             'CHEMBL595349'
     86.11     -84.86       2.14       0.00       0.00       0.95       2.78       1.34    0.968  '/tmp/tmpOBu85K/gold_soln_actives_final_m124_4.mol2'             'CHEMBL211018'
     66.40     -67.66       0.00       0.29       0.00       1.39       1.04       1.34    1.264  '/tmp/tmpOBu85K/gold_soln_actives_final_m125_4.mol2'             'CHEMBL575811'
     66.62     -65.01       0.00       1.97       0.00       1.40       2.38       1.85    1.356  '/tmp/tmpOBu85K/gold_soln_actives_final_m126_1.mol2'             'CHEMBL575811'
     71.09     -71.28       0.00       0.64       0.00       1.13       0.88       0.78    1.024  '/tmp/tmpOBu85K/gold_soln_actives_final_m127_3.mol2'             'CHEMBL203329'
     74.99     -66.23       2.00       1.94       0.00       2.68       1.88       3.37    1.044  '/tmp/tmpOBu85K/gold_soln_actives_final_m128_2.mol2'            'CHEMBL1081104'
     64.52     -77.16       0.00       0.00       0.00       9.53       4.42       5.73    1.128  '/tmp/tmpOBu85K/gold_soln_actives_final_m129_4.mol2'             'CHEMBL270847'
     78.66     -65.25       3.29       1.83       0.00       0.00       1.95       1.49    1.164  '/tmp/tmpOBu85K/gold_soln_actives_final_m130_2.mol2'             'CHEMBL205994'
     71.99     -68.96       1.89       0.00       0.00       0.00       2.43       1.47    1.140  '/tmp/tmpOBu85K/gold_soln_actives_final_m131_1.mol2'             'CHEMBL205994'
     70.77     -72.86       0.80       0.00       0.00       2.79       1.70       1.71    1.188  '/tmp/tmpOBu85K/gold_soln_actives_final_m132_4.mol2'             'CHEMBL572884'
     83.53     -86.93       1.00       0.00       0.00       1.17       3.36       1.50    1.204  '/tmp/tmpOBu85K/gold_soln_actives_final_m133_5.mol2'             'CHEMBL572884'
     75.54     -66.81       2.47       0.96       0.00       0.21       1.19       1.03    1.116  '/tmp/tmpOBu85K/gold_soln_actives_final_m134_3.mol2'             'CHEMBL206732'
     66.63     -64.76       1.63       0.72       0.00       4.16       2.03       3.04    1.220  '/tmp/tmpOBu85K/gold_soln_actives_final_m135_5.mol2'             'CHEMBL203434'
     79.47     -83.85       0.00       0.00       0.00       0.36       3.24       1.28    1.628  '/tmp/tmpOBu85K/gold_soln_actives_final_m136_1.mol2'             'CHEMBL381610'
     82.93     -82.03       0.04       1.10       0.00       1.32       2.00       2.82    1.508  '/tmp/tmpOBu85K/gold_soln_actives_final_m137_5.mol2'             'CHEMBL381610'
     74.31     -65.88       2.00       1.00       0.00       2.77       0.57       3.19    0.992  '/tmp/tmpOBu85K/gold_soln_actives_final_m138_4.mol2'            'CHEMBL1081829'
     77.00     -71.00       2.13       0.00       0.00       0.32       1.70       2.91    1.024  '/tmp/tmpOBu85K/gold_soln_actives_final_m139_3.mol2'            'CHEMBL1081660'
     72.37     -73.61       1.00       0.00       0.00       0.93       2.13       0.96    1.076  '/tmp/tmpOBu85K/gold_soln_actives_final_m140_4.mol2'             'CHEMBL207496'
     76.84     -80.47       0.00       0.00       0.00       1.21       2.31       2.21    1.400  '/tmp/tmpOBu85K/gold_soln_actives_final_m141_2.mol2'             'CHEMBL377687'
     78.74     -71.47       2.00       1.00       0.00       2.70       1.26       3.35    0.996  '/tmp/tmpOBu85K/gold_soln_actives_final_m142_3.mol2'            'CHEMBL1081263'
     72.89     -71.95       0.98       0.00       0.00       0.58       2.43       2.99    1.008  '/tmp/tmpOBu85K/gold_soln_actives_final_m143_2.mol2'            'CHEMBL1081425'
     72.75     -62.93       3.00       1.32       0.00       0.57       2.77       2.98    1.032  '/tmp/tmpOBu85K/gold_soln_actives_final_m144_5.mol2'            'CHEMBL1081296'
     60.06     -55.92       1.96       0.00       0.00       0.00       2.54       2.64    1.532  '/tmp/tmpOBu85K/gold_soln_actives_final_m145_3.mol2'             'CHEMBL377603'
     73.51     -67.76       2.00       0.40       0.00       2.23       1.72       3.14    1.532  '/tmp/tmpOBu85K/gold_soln_actives_final_m146_1.mol2'             'CHEMBL377603'
     54.41     -47.03       2.00       1.00       0.00       0.54       1.24       0.93    1.084  '/tmp/tmpOBu85K/gold_soln_actives_final_m147_3.mol2'             'CHEMBL445180'
     74.26     -80.49       0.00       0.00       0.00       6.24       2.84       5.35    0.824  '/tmp/tmpOBu85K/gold_soln_actives_final_m148_1.mol2'             'CHEMBL359864'
     69.65     -80.52       0.00       0.00       0.00       9.97       2.86       4.83    0.996  '/tmp/tmpOBu85K/gold_soln_actives_final_m149_1.mol2'             'CHEMBL180231'
     64.49     -71.93       0.00       0.00       0.00       4.47       3.83       4.69    0.968  '/tmp/tmpOBu85K/gold_soln_actives_final_m150_5.mol2'             'CHEMBL180231'
     53.73     -49.67       2.00       0.00       0.00       1.28       0.94       1.22    1.056  '/tmp/tmpOBu85K/gold_soln_actives_final_m151_5.mol2'             'CHEMBL493251'
     85.96     -75.23       3.78       0.89       0.00       0.02       2.25       1.24    0.524  '/tmp/tmpOBu85K/gold_soln_actives_final_m152_3.mol2'             'CHEMBL597793'
     73.17     -75.25       0.00       0.25       0.00       0.00       2.20       1.55    1.180  '/tmp/tmpOBu85K/gold_soln_actives_final_m153_4.mol2'             'CHEMBL226383'
     75.40     -71.35       2.16       0.00       0.00       0.32       1.49       0.89    1.144  '/tmp/tmpOBu85K/gold_soln_actives_final_m154_5.mol2'             'CHEMBL375486'
     73.10     -67.02       2.00       1.00       0.00       0.00       1.73       0.45    0.920  '/tmp/tmpOBu85K/gold_soln_actives_final_m155_3.mol2'             'CHEMBL207338'
     57.98     -56.94       0.96       0.00       0.00       0.00       3.63       5.44    0.672  '/tmp/tmpOBu85K/gold_soln_actives_final_m156_1.mol2'             'CHEMBL260184'
     47.79     -50.11       0.00       0.00       0.00       0.00       3.76       5.20    0.852  '/tmp/tmpOBu85K/gold_soln_actives_final_m157_3.mol2'             'CHEMBL260184'
     66.40     -66.80       0.00       0.00       0.00       0.29       2.78       5.18    0.792  '/tmp/tmpOBu85K/gold_soln_actives_final_m158_1.mol2'             'CHEMBL407733'
     72.73     -72.84       0.87       1.00       0.00       4.87       3.02       5.07    1.040  '/tmp/tmpOBu85K/gold_soln_actives_final_m159_2.mol2'             'CHEMBL407733'
     72.11     -67.57       1.94       0.00       0.00       0.00       1.21       1.16    0.932  '/tmp/tmpOBu85K/gold_soln_actives_final_m160_1.mol2'             'CHEMBL229320'
     51.19     -53.17       0.00       0.00       0.00       0.00       1.57       1.12    1.112  '/tmp/tmpOBu85K/gold_soln_actives_final_m161_2.mol2'             'CHEMBL494882'
