# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)    DE(con)     intcor     time                               File name                Ligand name

     52.15     -51.62       0.81       0.00       0.00       0.00       3.12      -0.00       4.33    0.628  '/tmp/tmpkJh2xL/gold_soln_actives_final_m52_5.mol2'             'CHEMBL603852'
     26.08     -26.48       0.00       0.00       0.00       0.00       2.25      -0.00       4.10    0.620  '/tmp/tmpkJh2xL/gold_soln_actives_final_m53_5.mol2'             'CHEMBL603852'
     44.66     -43.84       0.71       0.00       0.00       2.86       1.80      -0.00       5.07    0.256  '/tmp/tmpkJh2xL/gold_soln_actives_final_m54_2.mol2'             'CHEMBL228654'
     64.65     -64.33       0.00       0.76       0.00       0.87       1.49      -0.00       1.85    0.460  '/tmp/tmpkJh2xL/gold_soln_actives_final_m55_3.mol2'             'CHEMBL211084'
     43.06     -54.78       0.00       0.00       0.00       0.52       1.73     -10.00       2.25    0.360  '/tmp/tmpkJh2xL/gold_soln_actives_final_m56_2.mol2'             'CHEMBL270638'
     41.29     -36.65       0.91       1.00       0.00       0.00       1.66      -0.00       2.23    0.312  '/tmp/tmpkJh2xL/gold_soln_actives_final_m57_2.mol2'             'CHEMBL270638'
     40.67     -57.29       0.00       0.00       0.00      15.77       3.39      -0.00       5.94    0.604  '/tmp/tmpkJh2xL/gold_soln_actives_final_m58_2.mol2'             'CHEMBL404554'
     55.14     -63.29       0.00       0.00       0.00       5.87       4.35      -0.00       6.22    0.612  '/tmp/tmpkJh2xL/gold_soln_actives_final_m59_1.mol2'             'CHEMBL404554'
     37.09     -51.26       0.00       0.00       0.00       9.94       4.53      -0.00       4.83    0.568  '/tmp/tmpkJh2xL/gold_soln_actives_final_m60_5.mol2'             'CHEMBL508794'
     82.28     -76.71       2.98       0.63       0.00       2.31       2.59      -0.00       2.26    0.668  '/tmp/tmpkJh2xL/gold_soln_actives_final_m61_4.mol2'             'CHEMBL209503'
     31.13     -41.25       0.00       0.00       0.00       0.00       0.06     -10.00       0.00    0.264  '/tmp/tmpkJh2xL/gold_soln_actives_final_m62_3.mol2'             'CHEMBL475401'
     50.62     -73.66       2.00       0.00       0.00      17.35       1.86     -10.00       2.02    0.564  '/tmp/tmpkJh2xL/gold_soln_actives_final_m63_1.mol2'             'CHEMBL203275'
     62.56     -56.73       2.66       0.43       0.00       0.15       2.71      -0.00       2.10    0.560  '/tmp/tmpkJh2xL/gold_soln_actives_final_m64_4.mol2'             'CHEMBL203275'
     53.59     -47.90       2.35       0.00       0.00       0.00       0.83      -0.00       0.12    0.284  '/tmp/tmpkJh2xL/gold_soln_actives_final_m65_1.mol2'             'CHEMBL444165'
     40.21     -40.21       0.00       0.00       0.00       0.00       0.00      -0.00       0.00    0.140  '/tmp/tmpkJh2xL/gold_soln_actives_final_m66_3.mol2'             'CHEMBL475400'
     61.30     -59.32       1.00       0.00       0.00       0.33       3.44      -0.00       4.87    0.524  '/tmp/tmpkJh2xL/gold_soln_actives_final_m67_2.mol2'             'CHEMBL252056'
     61.89     -57.47       2.00       0.00       0.00       0.23       3.31      -0.00       5.27    0.508  '/tmp/tmpkJh2xL/gold_soln_actives_final_m68_3.mol2'             'CHEMBL252056'
     67.01     -62.89       1.00       1.46       0.00       0.66       1.77      -0.00       0.91    0.504  '/tmp/tmpkJh2xL/gold_soln_actives_final_m69_2.mol2'             'CHEMBL206208'
     72.52     -64.79       3.62       0.00       0.00       3.02       1.88      -0.00       3.62    0.552  '/tmp/tmpkJh2xL/gold_soln_actives_final_m70_5.mol2'            'CHEMBL1081437'
     66.28     -66.95       0.00       0.00       0.00       0.39       2.02      -0.00       3.76    0.536  '/tmp/tmpkJh2xL/gold_soln_actives_final_m71_1.mol2'            'CHEMBL1081438'
     66.61     -55.96       2.50       2.04       0.00       0.00       1.65      -0.00       0.33    0.368  '/tmp/tmpkJh2xL/gold_soln_actives_final_m72_4.mol2'             'CHEMBL202937'
     62.53     -55.17       1.00       2.04       0.00       0.00       1.06      -0.00       0.37    0.368  '/tmp/tmpkJh2xL/gold_soln_actives_final_m73_4.mol2'             'CHEMBL202937'
     30.94     -32.36       0.99       0.00       0.00       2.01       3.57      -0.00       3.97    0.576  '/tmp/tmpkJh2xL/gold_soln_actives_final_m74_3.mol2'             'CHEMBL262341'
     11.53     -11.33       0.99       0.00       0.00       0.00       3.63      -0.00       4.49    0.584  '/tmp/tmpkJh2xL/gold_soln_actives_final_m75_5.mol2'             'CHEMBL262341'
     26.41     -45.84       0.00       0.00       0.00       6.33       3.24     -10.00       3.38    0.584  '/tmp/tmpkJh2xL/gold_soln_actives_final_m76_2.mol2'             'CHEMBL262341'
     62.52     -57.20       2.57       0.85       0.00       0.05       5.17      -0.00       5.33    0.560  '/tmp/tmpkJh2xL/gold_soln_actives_final_m77_2.mol2'             'CHEMBL262341'
     78.47     -70.90       1.00       2.93       0.00       1.26       2.29      -0.00       1.63    0.508  '/tmp/tmpkJh2xL/gold_soln_actives_final_m78_2.mol2'             'CHEMBL575646'
     59.62     -62.94       0.00       0.00       0.00       1.42       1.91      -0.00       1.80    0.584  '/tmp/tmpkJh2xL/gold_soln_actives_final_m79_4.mol2'             'CHEMBL573334'
     73.44     -67.81       2.00       0.83       0.00       0.01       2.11      -0.00       1.36    0.576  '/tmp/tmpkJh2xL/gold_soln_actives_final_m80_4.mol2'             'CHEMBL573334'
     70.48     -63.59       1.00       1.99       0.00       0.00       1.65      -0.00       1.23    0.568  '/tmp/tmpkJh2xL/gold_soln_actives_final_m81_4.mol2'             'CHEMBL573334'
     63.69     -54.02       3.98       0.26       0.00       0.00       2.51      -0.00       1.96    0.572  '/tmp/tmpkJh2xL/gold_soln_actives_final_m82_5.mol2'             'CHEMBL573334'
     70.33     -62.55       4.01       0.00       0.00       1.02       2.30      -0.00       0.93    0.372  '/tmp/tmpkJh2xL/gold_soln_actives_final_m83_1.mol2'             'CHEMBL512672'
     58.66     -56.65       1.00       0.68       0.00       0.00       1.97      -0.00       0.89    0.380  '/tmp/tmpkJh2xL/gold_soln_actives_final_m84_2.mol2'             'CHEMBL512672'
     67.16     -65.14       2.34       0.00       0.00       1.30       3.66      -0.00       3.62    0.708  '/tmp/tmpkJh2xL/gold_soln_actives_final_m85_5.mol2'             'CHEMBL415220'
     63.49     -65.40       1.16       0.18       0.00       3.37       3.00      -0.00       3.44    0.680  '/tmp/tmpkJh2xL/gold_soln_actives_final_m86_5.mol2'             'CHEMBL415220'
     47.54     -52.29       0.82       1.00       0.00       0.93       1.38     -10.00       3.45    0.384  '/tmp/tmpkJh2xL/gold_soln_actives_final_m87_2.mol2'             'CHEMBL255592'
     47.41     -55.04       1.93       0.65       0.00       2.46       3.48     -10.00       4.05    0.660  '/tmp/tmpkJh2xL/gold_soln_actives_final_m88_5.mol2'            'CHEMBL1202518'
     50.81     -53.22       0.28       0.00       0.00       2.47       2.52      -0.00       4.04    0.652  '/tmp/tmpkJh2xL/gold_soln_actives_final_m89_3.mol2'            'CHEMBL1202518'
     70.61     -66.87       1.37       0.00       0.00       0.00       0.96      -0.00       1.54    0.584  '/tmp/tmpkJh2xL/gold_soln_actives_final_m90_3.mol2'             'CHEMBL211186'
     27.59     -39.68       0.00       0.00       0.00       0.00       1.05     -10.00       0.01    0.192  '/tmp/tmpkJh2xL/gold_soln_actives_final_m91_3.mol2'                'CHEMBL162'
     38.27     -48.28       0.00       0.00       0.00       0.00       0.01     -10.00       0.00    0.352  '/tmp/tmpkJh2xL/gold_soln_actives_final_m92_1.mol2'                'CHEMBL162'
     62.72     -63.73       3.83       0.00       0.00      10.66       2.56      -0.00       3.28    0.452  '/tmp/tmpkJh2xL/gold_soln_actives_final_m93_1.mol2'            'CHEMBL1082016'
     73.03     -72.96       0.97       0.87       0.00       5.87       1.15      -0.00       2.73    0.640  '/tmp/tmpkJh2xL/gold_soln_actives_final_m94_4.mol2'            'CHEMBL1096271'
     69.59     -71.80       2.00       0.49       0.00      10.07       0.62      -0.00       1.44    0.360  '/tmp/tmpkJh2xL/gold_soln_actives_final_m95_4.mol2'             'CHEMBL599448'
     82.28     -71.49       4.00       0.00       0.00       2.23       0.66      -0.00       1.52    0.356  '/tmp/tmpkJh2xL/gold_soln_actives_final_m96_1.mol2'             'CHEMBL599448'
     46.33     -48.57       0.00       0.00       0.00       1.45       3.15      -0.00       5.51    0.564  '/tmp/tmpkJh2xL/gold_soln_actives_final_m97_4.mol2'             'CHEMBL252055'
     58.71     -55.15       2.00       0.00       0.00       0.09       3.62      -0.00       4.89    0.552  '/tmp/tmpkJh2xL/gold_soln_actives_final_m98_2.mol2'             'CHEMBL252055'
     60.85     -55.96       1.67       0.00       0.00       0.35       2.80      -0.00       5.82    0.548  '/tmp/tmpkJh2xL/gold_soln_actives_final_m99_3.mol2'             'CHEMBL252055'
     56.86     -62.32       0.00       0.00       0.00       4.51       3.29      -0.00       5.64    0.548  '/tmp/tmpkJh2xL/gold_soln_actives_final_m100_4.mol2'             'CHEMBL252055'
     76.52     -71.92       2.00       0.10       0.00       2.15       0.86      -0.00       1.28    0.420  '/tmp/tmpkJh2xL/gold_soln_actives_final_m101_3.mol2'             'CHEMBL523586'
     35.45     -49.50       0.62       0.15       0.00      14.99       4.05      -0.00       5.38    0.616  '/tmp/tmpkJh2xL/gold_soln_actives_final_m102_1.mol2'             'CHEMBL506077'
     51.78     -56.79       0.00       0.25       0.00       6.01       3.29      -0.00       5.12    0.572  '/tmp/tmpkJh2xL/gold_soln_actives_final_m103_1.mol2'             'CHEMBL506077'
     47.26     -59.23       0.81       0.00       0.00       1.07       3.74     -10.00       4.15    0.472  '/tmp/tmpkJh2xL/gold_soln_actives_final_m104_5.mol2'             'CHEMBL470200'
     55.26     -67.51       0.00       0.00       0.00       0.91       2.82     -10.00       4.31    0.476  '/tmp/tmpkJh2xL/gold_soln_actives_final_m105_3.mol2'             'CHEMBL470200'
     37.88     -41.66       0.00       0.23       0.00       0.00       5.14      -0.00       5.80    0.692  '/tmp/tmpkJh2xL/gold_soln_actives_final_m106_3.mol2'             'CHEMBL448926'
     65.88     -65.38       0.00       0.28       0.00       0.00       3.29      -0.00       6.24    0.672  '/tmp/tmpkJh2xL/gold_soln_actives_final_m107_3.mol2'             'CHEMBL448926'
     58.90     -60.06       0.00       0.00       0.00       0.03       1.47      -0.00       1.80    0.560  '/tmp/tmpkJh2xL/gold_soln_actives_final_m108_2.mol2'             'CHEMBL375485'
     53.22     -52.98       1.00       0.15       0.00       0.00       3.06      -0.00       2.92    0.472  '/tmp/tmpkJh2xL/gold_soln_actives_final_m109_2.mol2'             'CHEMBL226381'
     62.90     -60.10       1.86       0.00       0.00       1.14       2.36      -0.00       2.81    0.476  '/tmp/tmpkJh2xL/gold_soln_actives_final_m110_2.mol2'             'CHEMBL226381'
     73.27     -58.39       4.58       1.66       0.00       6.04       1.35      -0.00       4.89    0.472  '/tmp/tmpkJh2xL/gold_soln_actives_final_m111_3.mol2'             'CHEMBL383527'
     71.77     -68.94       1.00       0.67       0.00       3.84       1.70      -0.00       5.04    0.464  '/tmp/tmpkJh2xL/gold_soln_actives_final_m112_5.mol2'             'CHEMBL383527'
     63.84     -61.28       1.98       0.00       0.00       0.00       2.40      -0.00       1.20    0.504  '/tmp/tmpkJh2xL/gold_soln_actives_final_m113_1.mol2'             'CHEMBL376569'
     52.66     -63.49       0.00       0.57       0.00       1.05       1.80     -10.00       2.11    0.640  '/tmp/tmpkJh2xL/gold_soln_actives_final_m114_5.mol2'             'CHEMBL212566'
     39.59     -47.36       0.50       0.00       0.00       5.57       4.71      -0.00       5.72    0.568  '/tmp/tmpkJh2xL/gold_soln_actives_final_m115_4.mol2'             'CHEMBL574289'
     54.32     -68.16       0.00       0.00       0.00      18.15       0.44      -0.00       5.20    0.520  '/tmp/tmpkJh2xL/gold_soln_actives_final_m116_1.mol2'             'CHEMBL395080'
     68.21     -58.79       3.68       0.00       0.00       0.02       1.80      -0.00       1.12    0.736  '/tmp/tmpkJh2xL/gold_soln_actives_final_m117_1.mol2'             'CHEMBL523859'
     73.75     -61.73       4.86       0.00       0.00       0.65       2.15      -0.00       2.37    0.388  '/tmp/tmpkJh2xL/gold_soln_actives_final_m118_5.mol2'            'CHEMBL1171647'
     65.04     -59.04       1.00       1.54       0.00       0.33       2.41      -0.00       3.36    0.476  '/tmp/tmpkJh2xL/gold_soln_actives_final_m119_2.mol2'            'CHEMBL1079625'
     69.00     -68.87       1.00       1.00       0.00       4.22       1.44      -0.00       1.24    0.440  '/tmp/tmpkJh2xL/gold_soln_actives_final_m120_1.mol2'             'CHEMBL208199'
     61.17     -68.64       0.00       0.00       0.00       6.95       2.64      -0.00       4.77    0.500  '/tmp/tmpkJh2xL/gold_soln_actives_final_m121_4.mol2'             'CHEMBL258844'
     27.38     -20.30       2.91       0.00       0.00       0.00       2.24      -0.00       1.71    0.840  '/tmp/tmpkJh2xL/gold_soln_actives_final_m122_3.mol2'             'CHEMBL595349'
     15.13     -14.55       0.48       0.00       0.00       0.01       1.30      -0.00       1.74    0.832  '/tmp/tmpkJh2xL/gold_soln_actives_final_m123_4.mol2'             'CHEMBL595349'
     79.40     -74.43       1.00       1.98       0.00       1.39       1.89      -0.00       1.20    0.464  '/tmp/tmpkJh2xL/gold_soln_actives_final_m124_4.mol2'             'CHEMBL211018'
     69.18     -68.63       0.00       1.00       0.00       1.36       1.83      -0.00       2.02    0.552  '/tmp/tmpkJh2xL/gold_soln_actives_final_m125_3.mol2'             'CHEMBL575811'
     73.65     -70.57       2.58       0.00       0.00       2.46       2.35      -0.00       2.51    0.576  '/tmp/tmpkJh2xL/gold_soln_actives_final_m126_5.mol2'             'CHEMBL575811'
     67.95     -73.66       2.00       0.00       0.00       0.00       1.41     -10.00       0.26    0.464  '/tmp/tmpkJh2xL/gold_soln_actives_final_m127_3.mol2'             'CHEMBL203329'
     69.23     -65.55       1.00       1.00       0.00       0.54       2.51      -0.00       3.25    0.448  '/tmp/tmpkJh2xL/gold_soln_actives_final_m128_3.mol2'            'CHEMBL1081104'
     55.75     -69.48       0.00       0.00       0.00      11.99       3.74      -0.00       5.74    0.584  '/tmp/tmpkJh2xL/gold_soln_actives_final_m129_5.mol2'             'CHEMBL270847'
     68.31     -52.95       3.03       3.35       0.00       0.00       3.10      -0.00       2.14    0.532  '/tmp/tmpkJh2xL/gold_soln_actives_final_m130_1.mol2'             'CHEMBL205994'
     76.36     -59.80       3.96       2.13       0.00       0.01       1.62      -0.00       1.53    0.472  '/tmp/tmpkJh2xL/gold_soln_actives_final_m131_4.mol2'             'CHEMBL205994'
     77.13     -72.84       1.92       0.00       0.00       0.12       1.60      -0.00       1.56    0.564  '/tmp/tmpkJh2xL/gold_soln_actives_final_m132_2.mol2'             'CHEMBL572884'
     69.27     -63.30       2.28       1.00       0.00       0.00       2.68      -0.00       1.48    0.584  '/tmp/tmpkJh2xL/gold_soln_actives_final_m133_5.mol2'             'CHEMBL572884'
     65.67     -59.11       1.00       2.03       0.00       0.58       1.47      -0.00       0.99    0.536  '/tmp/tmpkJh2xL/gold_soln_actives_final_m134_5.mol2'             'CHEMBL206732'
     65.20     -54.43       2.64       1.27       0.00       0.42       3.03      -0.00       2.66    0.300  '/tmp/tmpkJh2xL/gold_soln_actives_final_m135_1.mol2'             'CHEMBL203434'
     56.57     -65.68       0.95       0.12       0.00       0.04       2.24     -10.00       2.20    0.620  '/tmp/tmpkJh2xL/gold_soln_actives_final_m136_1.mol2'             'CHEMBL381610'
     67.42     -66.45       1.39       0.20       0.00       1.01       2.51      -0.00       2.22    0.624  '/tmp/tmpkJh2xL/gold_soln_actives_final_m137_5.mol2'             'CHEMBL381610'
     66.24     -67.68       0.99       0.00       0.00       2.37       2.69      -0.00       3.26    0.448  '/tmp/tmpkJh2xL/gold_soln_actives_final_m138_1.mol2'            'CHEMBL1081829'
     59.62     -63.44       0.00       0.53       0.00       0.33       4.05      -0.00       3.01    0.492  '/tmp/tmpkJh2xL/gold_soln_actives_final_m139_4.mol2'            'CHEMBL1081660'
     66.58     -57.97       1.00       2.87       0.00       0.48       1.85      -0.00       1.18    0.612  '/tmp/tmpkJh2xL/gold_soln_actives_final_m140_5.mol2'             'CHEMBL207496'
     47.30     -63.38       0.38       0.96       0.00       8.44       1.96     -10.00       2.25    0.680  '/tmp/tmpkJh2xL/gold_soln_actives_final_m141_5.mol2'             'CHEMBL377687'
     77.34     -66.33       3.00       1.66       0.00       0.37       2.96      -0.00       3.33    0.436  '/tmp/tmpkJh2xL/gold_soln_actives_final_m142_5.mol2'            'CHEMBL1081263'
     66.20     -58.47       1.00       2.00       0.00       2.77       1.00      -0.00       3.29    0.472  '/tmp/tmpkJh2xL/gold_soln_actives_final_m143_1.mol2'            'CHEMBL1081425'
     78.43     -75.61       1.00       1.33       0.00       2.92       2.42      -0.00       3.05    0.540  '/tmp/tmpkJh2xL/gold_soln_actives_final_m144_2.mol2'            'CHEMBL1081296'
     59.10     -49.75       1.93       2.00       0.00       3.36       2.70      -0.00       4.16    0.636  '/tmp/tmpkJh2xL/gold_soln_actives_final_m145_2.mol2'             'CHEMBL377603'
     51.84     -41.65       2.88       1.69       0.00       3.24       2.96      -0.00       3.38    0.640  '/tmp/tmpkJh2xL/gold_soln_actives_final_m146_1.mol2'             'CHEMBL377603'
     55.91     -37.67       4.87       1.29       0.00       0.00       0.79      -0.00       1.36    0.520  '/tmp/tmpkJh2xL/gold_soln_actives_final_m147_5.mol2'             'CHEMBL445180'
     61.72     -64.26       0.00       0.00       0.00       1.15       3.41      -0.00       5.43    0.472  '/tmp/tmpkJh2xL/gold_soln_actives_final_m148_3.mol2'             'CHEMBL359864'
     54.85     -57.55       0.00       0.00       0.00       0.00       3.90      -0.00       4.70    0.512  '/tmp/tmpkJh2xL/gold_soln_actives_final_m149_4.mol2'             'CHEMBL180231'
     69.95     -70.21       1.59       0.00       0.00       3.57       3.22      -0.00       4.91    0.496  '/tmp/tmpkJh2xL/gold_soln_actives_final_m150_3.mol2'             'CHEMBL180231'
     46.41     -40.69       2.78       0.00       0.00       0.00       2.01      -0.00       1.40    0.296  '/tmp/tmpkJh2xL/gold_soln_actives_final_m151_2.mol2'             'CHEMBL493251'
